current_ts,balance,btype,pid,ptype,iban,account,sender,bank,iban2,receiver
7/10/2023 19:44:00,29854,EUR,1448,H,TR999841433,112752826,KAMİL DEMİR,X Bank,TR499923898,AYLİA ÇETİNTAŞ
7/10/2023 19:46:00,43302,USD,1755,H,TR996897724,113584848,KIVANÇ YAKAR,X Bank,TR619793870,FATİH KAYA
7/10/2023 19:48:00,32584,TL,1505,H,TR996861867,114075254,İLKNUR ŞAHİN,X Bank,TR285563149,SERDAR KUTLUYURDU
7/10/2023 19:49:59,14927,USD,1110,H,TR996778384,114374492,GÖKHAN ÇİLDİR,X Bank,TR528182108,NİHAL GENÇ TALAS
7/10/2023 19:51:59,43115,EUR,1746,H,TR992883017,115751562,LEVENT KAZBEK,X Bank,TR165697942,EYYUP SABRİ ULUÖZ
7/10/2023 19:53:59,48681,TL,1891,H,TR992178579,118897017,ÖZLEM MUTLU,X Bank,TR375432126,FATİH KAYA
7/10/2023 19:55:59,18971,TL,1190,H,TR992065795,120083676,DENİZ AKDENİZ,X Bank,TR304585453,LEVENT KARADEMİR
7/10/2023 19:57:59,34907,USD,1551,H,TR990528537,120607637,ÜLKÜ PEKTAŞ,X Bank,TR595470836,SENEM AK
7/10/2023 19:59:59,30360,EUR,1461,H,TR990300552,120850528,LEVENT ŞELİMAN,X Bank,TR565406938,DİLEK ÇETİN
7/10/2023 20:01:59,36385,USD,1587,H,TR989081741,121520948,FERHAN ŞENTÜRK,X Bank,TR578224394,ESRA KILIÇ YILDIRIM
7/10/2023 20:03:59,46256,USD,1830,H,TR987994386,121563819,SEYFİ AKÖZ,X Bank,TR630335040,SERHAT KÖROĞLU
7/10/2023 20:05:59,49598,TL,1909,H,TR987578254,125061375,OLCAY BAŞAK BAĞCIK,X Bank,TR942740010,SEMA KUYUCU
7/10/2023 20:07:59,29772,TL,1443,H,TR987352008,126507044,ARDA YILDIRIM,X Bank,TR548905018,BERNA ÖZER
7/10/2023 20:09:59,36037,TL,1578,H,TR984296475,126845472,GÜLAY BEDER,X Bank,TR350775622,DENİZ BİNNETOĞLU
7/10/2023 20:11:59,24440,TL,1312,H,TR983643321,128406407,ÖZGÜR PİŞİRGEN,X Bank,TR763696893,ZÜHAL GÜLSÜM CENGİZ
7/10/2023 20:13:59,34806,TL,1549,H,TR981744633,129515316,HÜMEYRA DAL,X Bank,TR418415447,AYŞEGÜL BAYSOY
7/10/2023 20:15:59,46415,EUR,1834,H,TR978160535,129764452,EYYUP SABRİ ULUÖZ,X Bank,TR740273075,FERDA ÇETİN
7/10/2023 20:17:59,35741,TL,1572,H,TR977817410,129984529,TURGAY YILMAZ YALÇINKAYA,X Bank,TR543828949,FADİME SEVGİ AYMAN
7/10/2023 20:19:59,31161,EUR,1478,H,TR977134616,132758036,İSMAİL ADANIR,X Bank,TR837018474,MUTLU DİNCER
7/10/2023 20:21:59,48552,TL,1885,H,TR975291160,132919023,ŞULE MİNE ŞANLIKAN,X Bank,TR491926523,ATAKAN TUĞCUGİL
7/10/2023 20:23:59,44860,EUR,1793,H,TR972413705,133192933,İLKER KARADENİZ,X Bank,TR795485691,GÜLBAHAR KOCABAŞ
